,2420,3057,2503,336,2503,,,,,290336,,2420,,2420,41582,,Rochinha,,,2420,,,https://transfermarkt.pt/rochinha/rueckennummern/spieler/290336,355,
,336,9254,1123,336,148,,,,,314367,,2420,,18333,,,Marcus Edwards,,,2420,,,https://transfermarkt.pt/marcus-edwards/rueckennummern/spieler/314367,6928,
,543,10789,10789,336,10789,,,,,412669,,131,,1075,,,Trincão,,,1075,,,https://transfermarkt.pt/trincao/rueckennummern/spieler/412669,,
,37487,,,45510,,,,,,864121,,,,,,,Issahaku Fatawu,,,,,,https://transfermarkt.pt/issahaku-fatawu/rueckennummern/spieler/864121,,
,336,2424,1075,336,2424,,,3348,,211072,,336,,1075,2424,25823,Paulinho,,,1075,,,https://transfermarkt.pt/paulinho/rueckennummern/spieler/211072,2424,
,45510,,,336,,,,,,670688,,67909,,,,,Chermiti,,,,,,https://transfermarkt.pt/chermiti/rueckennummern/spieler/670688,,
,336,,,45510,,,,,,726701,,,,,,,Rodrigo Ribeiro,,,,,,https://transfermarkt.pt/rodrigo-ribeiro/rueckennummern/spieler/726701,,
,1075,1075,1075,1075,1075,,,2863,,177547,,1075,,1075,2863,,Matheus,,,1075,,,https://transfermarkt.pt/matheus/rueckennummern/spieler/177547,1075,
,1075,,,1075,,,,,,629773,,1075,,1496,,,Lukas Hornicek,,,,,,https://transfermarkt.pt/lukas-hornicek/rueckennummern/spieler/629773,,
,1075,1075,1075,1075,1075,,,,,286908,,1075,,1075,10789,,Tiago Sá,,,1075,,,https://transfermarkt.pt/tiago-sa/rueckennummern/spieler/286908,10789,
,1075,,2424,1075,,,,,,517300,,1075,,7378,,,Tormena,,,1075,,,https://transfermarkt.pt/tormena/rueckennummern/spieler/517300,,
,8179,,1423,1075,1423,,,,,413118,,855,,1423,,,Sikou Niakaté,,,12748,,,https://transfermarkt.pt/sikou-niakate/rueckennummern/spieler/413118,,
2420,1075,336,1533,1075,336,,15581,2420,,139336,,1533,,1533,2420,3327,Paulo Oliveira,,,1533,,,https://transfermarkt.pt/paulo-oliveira/rueckennummern/spieler/139336,336,
,50919,,,10789,,,,,,655899,,41852,,,,,Serdar Saatci,,,41852,,,https://transfermarkt.pt/serdar-saatci/rueckennummern/spieler/655899,,
,1075,982,1075,1075,982,,,3345,,193303,,1075,,1075,982,,Sequeira,,,1075,,,https://transfermarkt.pt/sequeira/rueckennummern/spieler/193303,982,
,11282,11648,1804,1075,17467,,,,,356099,,1075,,336,,,Cristián Borja,,,336,,,https://transfermarkt.pt/cristian-borja/rueckennummern/spieler/356099,17467,
,1084,,,1075,,,,,,495601,,13222,,10773,,,Víctor Gómez,,,714,,,https://transfermarkt.pt/victor-gomez/rueckennummern/spieler/495601,,
,272,,16574,1075,,,,,,579284,,1059,,,,,Joe Mendes,,,16574,,,https://transfermarkt.pt/joe-mendes/rueckennummern/spieler/579284,,
,1075,,15136,1075,15136,,,,,377641,,1075,,15136,,,Al-Musrati,,,2425,,,https://transfermarkt.pt/al-musrati/rueckennummern/spieler/377641,,
,1049,159,159,1075,159,,,,,417575,,1049,,648,,,Uros Racic,,,3329,,,https://transfermarkt.pt/uros-racic/rueckennummern/spieler/417575,,
,68077,,,10789,,,,,,631404,,68077,,,,,Gorby,,,,,,https://transfermarkt.pt/gorby/rueckennummern/spieler/631404,,
,1075,1085,51828,1075,294,,,,,329722,,1075,,51828,,,André Horta,,,1075,,,https://transfermarkt.pt/andre-horta/rueckennummern/spieler/329722,1085,
4750,1075,10484,1467,1075,10484,,2448,720,,58267,,1075,,1467,10484,2448,Castro,,4750,1467,720,720,https://transfermarkt.pt/castro/rueckennummern/spieler/58267,10484,
2995,6890,294,294,1075,294,,2995,897,,64339,,294,,294,714,13,Pizzi,,,294,,,https://transfermarkt.pt/pizzi/rueckennummern/spieler/64339,294,
,1075,1084,1075,1075,1075,,,1085,,261927,,1075,,1075,1085,,Ricardo Horta,,,1075,,,https://transfermarkt.pt/ricardo-horta/rueckennummern/spieler/261927,1084,
,383,681,23826,1075,141,,,336,,139396,,683,,23826,141,,Bruma,,,383,,,https://transfermarkt.pt/bruma/rueckennummern/spieler/139396,141,
,68077,,,1075,,,,,,906329,,,,,,,Roger,,,,,,https://transfermarkt.pt/roger/rueckennummern/spieler/906329,,
,10789,,,1075,,,,,,671649,,10789,,68077,,,Álvaro Djaló,,,68077,,,https://transfermarkt.pt/alvaro-djalo/rueckennummern/spieler/671649,,
,1075,979,252,1075,2503,,,10949,,193830,,1075,,255,10949,,Iuri Medeiros,,,4,,,https://transfermarkt.pt/iuri-medeiros/rueckennummern/spieler/193830,8024,
